ID,Tipo,Descripcion,Beneficio/Prioridad,Estado,Evidencia
RU01,RU,"Quiero configurar un agente de IA sin escribir codigo para que atienda automaticamente a mis clientes por WhatsApp","Reducir el tiempo dedicado a responder mensajes repetitivos y atender clientes 24/7 sin esfuerzo manual",Parcial,"MiNegocio.jsx: nombre/avatar/tono/saludo editables. Falta editor visual de flujos (RF03)"
RU02,RU,"Quiero que el agente responda las preguntas frecuentes de mis clientes de forma automatica","No tener que responder manualmente las mismas preguntas decenas de veces al dia",Hecho,"MiNegocio.jsx (FAQ builder) -> Simulador.jsx envia agente.faq -> server.js inyecta el FAQ en el prompt de Gemini con regla de uso obligatoria"
RU03,RU,"Quiero ver un panel diario con el resumen de consultas, ventas y alertas de mi negocio","Tomar decisiones informadas sin necesidad de revisar multiples aplicaciones",Parcial,"Dashboard.jsx con fila de KPIs. Ventas semanales y consultas WhatsApp aun son datos de ejemplo fijos"
RU04,RU,"Quiero que el sistema me alerte cuando el inventario de algun producto este por agotarse","Hacer pedidos a proveedores a tiempo y evitar quiebres de stock que afecten mis ventas",Hecho,"AlertasPanel.jsx + umbralStock configurable en NegocioContext.jsx"
RU09,RU,"Quiero personalizar el nombre, tono y saludo del agente con la identidad de mi marca","Que los clientes sientan que interactuan con mi negocio y no con un robot generico",Hecho,"MiNegocio.jsx -> SET_AGENTE en NegocioContext.jsx; incluye selector de avatar"
RU10,RU,"Quiero integrar mi catalogo de productos al agente para que responda con precios y disponibilidad","Que los clientes reciban informacion precisa y actualizada sin que yo intervenga",Hecho,"Inventario.jsx (CRUD) inyectado como JSON en el prompt del backend server.js"
RU11,RU,"Quiero ver el historial completo de conversaciones que tuvo el agente con mis clientes","Revisar la calidad de las respuestas del agente y detectar oportunidades de mejora",Parcial,"Simulador.jsx guarda el historial en estado local del componente; se pierde al navegar o recargar, sin filtros"
RU12,RU,"Quiero elegir una plantilla de agente pre-configurada para el rubro de mi negocio","Empezar a operar rapidamente sin configurar todo desde cero",Parcial,"StepTipoNegocio.jsx ofrece 4 categorias genericas (productos/servicios/restaurante/mixto), no 10 plantillas por rubro"
RU13,RU,"Quiero pagar solo por los agentes y funciones que realmente utilizo","No desperdiciar dinero en caracteristicas que no necesito en mi etapa de negocio actual",Parcial,"Suscripcion.jsx permite elegir plan y periodo (mensual/trimestral -10%/anual -20%). Sin pasarela de pago ni medicion de uso real"
RU16,RU,"Quiero que el agente gestione pedidos desde WhatsApp registrando automaticamente el producto, cantidad y cliente","Eliminar el riesgo de olvidar pedidos y centralizar toda la gestion de ventas en un solo lugar",Parcial,"Reglas de negocio en el prompt de server.js (stock, horario, citas) guian la conversacion, pero no persiste el pedido como registro"
RF01,RF,"Registro de PYME con datos basicos en un flujo de maximo 5 pasos",Alta,Hecho,"OnboardingWizard.jsx: 3 pasos (identidad, tipo, configuracion inicial)"
RF04,RF,"Al menos 10 plantillas de agente pre-configuradas por rubro",Alta,Parcial,"4 tipos de negocio en StepTipoNegocio.jsx, sin plantillas especificas por rubro"
RF05,RF,"Respuestas automaticas en WhatsApp en menos de 3 segundos",Alta,Parcial,"POST /api/chat en server.js via Gemini. Simulado en Simulador.jsx, sin integracion real con WhatsApp Business API"
RF06,RF,"Carga de catalogo de productos en formato CSV o Excel",Alta,Parcial,"ProductoModal.jsx solo permite alta manual uno por uno. Sin importacion CSV/Excel"
RF07,RF,"Alerta de stock minimo mediante notificacion push y correo electronico",Alta,Parcial,"AlertasPanel.jsx es visual, dentro de la app. Sin push ni correo real"
RF09,RF,"Dashboard con panel de metricas diarias y semanales operativas",Alta,Parcial,"Dashboard.jsx, SalesChart.jsx. Ventas semanales son datos fijos (mockData), no datos reales"
RF13,RF,"Personalizacion del agente: nombre, avatar, tono de voz y mensaje de saludo desde panel sin codigo",Media,Hecho,"MiNegocio.jsx: campos nombre/tono/saludo + selector de avatar (constants/avatares.js)"
RF17,RF,"Modulo de preguntas frecuentes (FAQ) que el agente usa como base de conocimiento para responder",Alta,Hecho,"MiNegocio.jsx (builder) + server.js (FAQ incluido en systemInstruction de Gemini)"
RF20,RF,"Onboarding guiado paso a paso que active el primer agente en menos de 30 minutos",Alta,Hecho,"OnboardingWizard.jsx, StepIdentidad.jsx, StepTipoNegocio.jsx, StepConfigInicial.jsx"
RF26,RF,"Gestion de suscripcion y facturacion: ver plan activo, cambiar de plan, descargar facturas",Alta,Parcial,"Suscripcion.jsx + PlanCard.jsx permiten elegir plan y periodo de facturacion (mensual/trimestral/anual). Sin pagos reales ni descarga de facturas"
RF27,RF,"Monitoreo en tiempo real del estado del agente, conversaciones activas y tasa de resolucion",Alta,Parcial,"Simulador.jsx muestra estado en horario/fuera de horario y contador de mensajes de la sesion. Sin tasa de resolucion"
RF32,RF,"Panel de control responsive (web) y aplicacion movil nativa para iOS y Android",Alta,Parcial,"Web responsive con Tailwind y menu hamburguesa/drawer para movil (Sidebar.jsx, Layout.jsx). Sin app nativa"
RNF06,RNF,"Portabilidad: accesible desde navegadores modernos y con app movil nativa para iOS y Android",Medible,Parcial,"Web responsive funcional con menu movil (hamburguesa + drawer); sin app nativa"
